time,value
0.0,0.5631
0.1,0.7851
0.2,0.9278
0.3,0.9955
0.4,0.8456
0.51,0.5844
0.61,0.3176
0.71,0.0924
0.81,0.0
0.91,0.098
1.01,0.252
1.11,0.544
1.21,0.7683
1.31,0.9581
1.41,0.97
1.52,0.8159
1.62,0.558
1.72,0.2939
1.82,0.0575
1.92,0.0
2.02,0.0925
2.12,0.3131
2.22,0.6012
2.32,0.8072
2.42,0.9838
2.53,0.9907
2.63,0.8262
2.73,0.5631
2.83,0.2379
2.93,0.0761
3.03,0.0354
3.13,0.1504
3.23,0.3803
3.33,0.6059
3.43,0.8968
3.54,0.9828
3.64,0.9864
3.74,0.7355
3.84,0.5026
3.94,0.2515
4.04,0.0226
4.14,0.0358
4.24,0.0889
4.34,0.3951
4.44,0.6702
4.55,0.899
4.65,1.039
4.75,0.9135
4.85,0.7095
4.95,0.4395
5.05,0.124
5.15,0.0
5.25,0.0148
5.35,0.1398
5.45,0.4691
5.56,0.722
5.66,0.94
5.76,1.0119
5.86,0.962
5.96,0.6753
6.06,0.424
6.16,0.1731
6.26,0.0474
6.36,0.0088
6.46,0.1907
6.57,0.4723
6.67,0.7032
6.77,0.9147
6.87,0.9859
6.97,0.8969
7.07,0.6664
7.17,0.3184
7.27,0.1284
7.37,0.0
7.47,0.0526
7.58,0.2275
7.68,0.5326
7.78,0.7581
7.88,0.9302
7.98,1.0166
8.08,0.8392
8.18,0.6108
8.28,0.2741
8.38,0.0238
8.48,0.0046
8.59,0.1256
8.69,0.2853
8.79,0.5665
8.89,0.817
8.99,1.0168
9.09,1.0112
9.19,0.8038
9.29,0.5032
9.39,0.3186
9.49,0.1154
9.6,0.0
9.7,0.1151
9.8,0.3414
9.9,0.6443
10.0,0.8699
